file,page_num,line_num,text_auto,text_en
MTX201501307_anon,1,1,Záchranný archeologický výzkum,pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla
MTX201501307_anon,1,1,"Vraní, ČOV a kanalizace",pravidla pravidla
MTX201501307_anon,1,2,"parc. č. 41/1, 41/5, 41/11, 42,137/1",pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla
MTX201501307_anon,1,1,Nálezová zpráva,pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla
MTX201501307_anon,1,1,"Pueblo - archeologická společnost, o. p. s.",pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla
MTX201501307_anon,1,1,Vojtěch Marek,pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla
MTX201501307_anon,1,1,2014,2014
MTX201501307_anon,2,1,2,2
MTX201501307_anon,2,1,Objednatel:,pravidla
MTX201501307_anon,2,2,Obec Vraní,pravidla
MTX201501307_anon,2,3,Vraní 37,pravidla pravidla
MTX201501307_anon,2,4,592 31 Vraní,pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla pravidla
MTX201501307_anon,2,1,Oprávněná organizace:,pravidla
MTX201501307_anon,2,2,"Pueblo - archeologická společnost, o. p. s.",pravidla pravidla
MTX201501307_anon,2,3,Lipová 1601/8,pravidla pravidla
MTX201501307_anon,2,4,149 00 Lhota 11 - Údolí,pravidla pravidla pravidla
MTX201501307_anon,2,5,Vedoucí archeologického výzkumu:,pravidla
MTX201501307_anon,2,6,Mgr. Bohumil Sýkora,pravidla
