source_lemma,target_translation
arca,arca
archa,ark
archanděl,archangel
archeoastronomie,archaeoastronomy
archeobiologie,archaeobiology
archeobotanika,archaeobotany
archeoentomologie,archeoentomology
archeogenetická analýza,archaeogenetic analysis
archeogenetika,archaeogenetics
archeografie,archaeography
archeolog,archaeologist
archeologická antropologie,archaeological anthropology
archeologická data,archaeological data
archeologická klasifikace,archaeological classification
archeologická kultura,archaeological culture
archeologická lokalita,archaeological site
archeologická mapa,archaeological map
archeologická památka,archaeological monument
archeologická periodizace,archaeological periodization
archeologická sbírka,archaeological collection
archeologická transformace,archaeological transformation
archeologické datování,archaeological dating
archeologické dědicství,archaeological heritage
archeologické muzeum,archaeological museum
archeologické výzkumy,archaeological research
archeologický kontext,archaeological context
archeologický nález,archaeological find
archeologický pramen,archaeological source
archeologie,archaeology
archeologie skalních převisů,rockshelter archaeology
archeologie starověku,ancient archeology
archeologie středověku,medieval archaeology
archeoložka,women archaeologist
archeomalakologie,archeomalacology
archeometalurgie,archaeometallurgy
archeometrie,archaeometry
archeoparazitologie,archeoparasitology
archeoskanzen,archaeological open-air museum
archeozoologie,archaeozoology
archerotypie,collodion process
architekt,architect
architektka,architect (female)
architektonický článek,architectural element
architektura,architecture
architektura 19. století,19th-century architecture
architráv,architrave
archiv arú,IAP archive
archiv arúb,IAB archive
archiv autora,author's archive
archiv jiné organizace,other institutional archive
archivnictví,keeping archives
archivní budova,archive
archivní výzkum,archival research
archiválie,records
archivář,archivist
arcibiskup,archbishop
arcibiskupská rezidence,archbishops palace
arcibiskupský úřad,archbishops' office
arcidiecéze,archdiocese
areál jiné aktivity,other site
areál komunity,community area
areál nezemědělské výroby,production site
areál těžby,extracting site
areál vojenských aktivit,military site
areál zemědělské výroby,agricultural production site
argentina,Argentina
argolis,Argolis
arianismus,Arianism
aristokracie,aristocracy
arkádie (řecko),Arcadia
armagnac,Armagnac
armamentarium,armamentaria
armáda,army
arménie,Armenia
arménské písmo,Armenian script
arpádovci,Árpád dynasty
artefakt,artefact
artemísion,Artemisium
aruba,Aruba
aryballos,aryballos
as,as
asep (databáze),ASEP (database)
asie,Asia
asie (římská provincie),Asia (Roman province)
asimilace (sociologie),assimilation
askeze,asceticism
asklépieion,Asclepeion
askos,askos
astralon,astralon (transparent foil)
astrologie,astrology
astrální božstvo,solar deity
asturie,Asturias
asýrie,Assyria
atika,Attica
atlantik (paleoklimatologie),Atlantic (paleoclimatology)
atlas (pohoří),Atlas Mountains
atomová absorbční spektrometrie,atomic absorption spectroscopy
atomová emisní spektrometrie,atomic emission spectroscopy
atribut,Attribute
atribut světce,attribute of saint
atrium,atrium
attičtina,Attic Greek
atypický předmět,exceptional object
augsburská konfese,Augsburg Confession
augustiniáni,Augustinians
augustiniáni kanovníci,Augustinian Canons
augustiniánky,Augustinian nuns
augustiniánská spiritualita,Augustinian spirituality
augustiniánský klášter,Augustinian monastery
aula,aule
aulos,aulos
aureus,aureus
aurignacien,Aurignacian
australopithecus,australopithecus
austrálie,Australia
autograf,autograph
auvergne,Auvergne
avarsko-slovanská kultura,Avar-Slavic culture
avarský kaganát,Avar Khaganate
avarština,Avaric language
avaři,Avars
avignonské zajetí (1309-1378),Avignon Papacy
azbuka (písmo),Russian alphabet
azovské moře (ukrajina a rusko),Sea of Azov
aígina,Aegina
babylónie,Babylonia
badatel,researcher
badatelský,research
badatelský záměr,research project
badenská kultura,Baden Culture
bahamy,Bahamas (the)
bahrajn,Bahrain
bajka,fable
bakchantky,Maenad
bakchanálie,Bacchanalia
baktrie,Bactria
balista,ballista
baltistika,Baltic studies
baltové,Balts
baltská filologie,Baltic philology
baltská literatura,Baltic literature
baltská mytologie,Baltic mythology
baltské jazyky,Baltic languages
baltské náboženství,Baltic religion
baltské země,Baltic countries
bangladéš,Bangladesh
bankovka,paper money
bar micva,Bar Mitzvah
barbados,Barbados
barbarikum,Barbaricum
barbaři,Barbarian
barbiton,barbiton
barbizonská škola,Barbizon school
barokní architektura,baroque architecture
barokní malířství,baroque painting
barokní nástěnná malba,baroque mural painting
barokní oltář,baroque altar
barokní portál,baroque doorway
barokní sochařství,baroque sculpture
barokní umění,baroque
barter,barter
barvivo,colourant
baskická literatura,Basque literature
baskická poezie,Basque poetry
baskická povídka,Basque short story
baskická próza,Basque prose literature
baskické drama,Basque drama
baskický román,Basque fiction
baskičtina,Basque
baskičtí spisovatelé,Basque authors
baskové,Basques
bastion,bastion
bastion/reduta,bastion/redoubt
batavové,Batavi
bavlna,cotton
bavorsko,Bavaria
bayreuth (německo : knížectví),Bayreuth (Germany : Fürstentum)
bazilika,basilica
bazilika (antika),basilica (antiquity)
baziliánský klášter,Basilian monastery
bašta,wall tower
bednář,cooper
bednářství,coopering
beghardi,Beghards
behaviorismus,behaviorism
behaviorální geografie,behavioral geography
bekyně (křesťanské hnutí),Beguines
belgie,Belgium
belgové,Belgae
belize,Belize
benediktini,Benedictines
benediktinky,Benedictine nuns
benediktinská spiritualita,Benedictine spirituality
benediktinský klášter,Benedictine monastery
benešov-nesvačily,Benešov-Nesvačily
benin,Benin
benátsko,Veneto
bergfrit,keep
berlínská škola,Berlin school
bermudy,Bermuda
berní kniha,tax book
berní rula,Roll of Assesment
bez ochrany,unprotected
bez okolností,unknown context
bhútán,Bhutan
bible,bible
biblická archeologie,biblical archaeology
biblická latina,Biblical Latin language
biblická řečtina,Koine Greek
biblický apokryf,Biblical apocryphal book
biedermeier,biedermeier
biga,biga
billendorfská kultura,Billendorf Culture
billendorfská kultura (hac),Billendorf Culture (HaC)
billendorfská kultúra,Billendorf culture
bioarcheologie,bioarchaeology
biogeochemie,biogeochemistry
biogeografické členění,biogeographical classification
biogeografie,biogeography
biografická analýza,Biographical research
biografie,biography
biologická antropologie,biological anthropology
biskup,bishop
biskupská rezidence,bishops palace
biskupský úřad,bishops' office
bitva,battle
"bitva u gaugamél (331 př. kr. : tel gomél, irák)",Battle of Gaugamela
"bitva u graníku (334 př. kr. : biga çayi, turecko : řeka)",Battle of the Granicus
"bitva u hydaspés (326 př. kr. : džihlam, indie a pákistán : řeka)",Battle of the Hydaspes
bitva u issu (333 př. kr. : issos : zaniklé město),Battle of Issus
bitva u kann (216 př. kr. : cannae : zaniklé město),Battle of Cannae
bitva u ladé (494 př. kr. : ladé : zaniklý ostrov),Battle of Lade
"bitva u marathónu (490 př. kr. : marathón, řecko)",Battle of Marathon
bitva u platají (479 př. kr. : plataje : zaniklé město),Battle of Plataea
"bitva u salamíny (480 př. kr. : salamís, řecko : ostrov)",Battle of Salamis
"bitva u thermopyl (480 př. kr. : thermopyly, řecko : průsmyk)",Battle of Thermopylae
bitva v teutoburském lese,Battle of the Teutoburg Forest
bitvy,battles
biřmování,confirmation
blahořečení,beatification
bod,point
bodná zbraň,stabbing weapon
bodové objekty uspořádané,organized point features
bodový objekt,point feature
bogomilové,Bogomil
bohunicien,Bohunician
boiohaemum,Bohemia
boiótie,Boeotia
boj,fighting activity
bojiště,battlefield
bojovník,warrior
bolívie,Bolivia (Plurinational State of)
"bonaire, svatý eustach a saba","Bonaire, Sint Eustatius and Saba"
boreál (paleoklimatologie),Boreal (paleoclimatology)
borka,bark
boromejky,St. Charles Borromeo Sisters
bosna a hercegovina,Bosnia and Herzegovina
bospor (turecko : průliv),Bosporus
bosporská říše,Bosporan Kingdom
bosí augustiniáni,Discalced Augustinians
bosí karmelitáni,Discalced Carmelite
botanická sbírka,plant collection
botswana,Botswana
bouvetův ostrov,Bouvet Island
bošácká skupina,Bošáca Group
boží muka a křížky,wayside shrines and crosses
brabantsko,Duchy of Brabant
brakteát,bracteate
branec,conscript
braniborsko,Brandenburg
brazílie,Brazil
brašnářství,bagmaking
bretaň,Brittany
bretonština,Breton
breviář,breviary
brežské knížectví,Duchy of Brzeg
brigitinky,Bridgettine nuns
britské indickooceánské území,British Indian Ocean Territory (the)
britské panenské ostrovy,Virgin Islands (British)
británie (provincie),Roman Britain
brno-tuřany,Brno-Tuřany
brno-černovice,Brno-Černovice
bromkopie,hectograph copy
bronteion,bronteion
bronz,bronze
brousek,whetstone
broušená industrie,polished industry
brož,brooch
brunej,Brunei Darussalam
brunšvicko,Duchy of Brunswick
brusle,ice skate
bruttium,Bruttium
bráhman,Brahman
brána,gate
bucchero,bucchero
budova,building
budova hospodářská,non-residential building
budova obytná,residential building
budova/stavba,building/structure
budík,alarm clock
bukovohorská kultura,Bükk culture
bulava,club
bulharsko,Bulgaria
bulla,bulla
burgundi,Burgundians
burgus,burgus
burjatština,Buriat
burkina faso,Burkina Faso
burundi,Burundi
buržoazie,bourgeoisie
butmirská kultura,Butmir culture
bylanská kultura,Bylany Culture
bytové vybavení,furnishing
byzanc,Byzantine Empire
byzantika,Byzantine studies (sources)
byzantinismus,Byzantinism
byzantolog,byzantologist
byzantologie,Byzantine studies
byzantoložka,women byzantologist
byzantsko-slovanské vztahy,Byzantine-Slavic relations
byzantská architektura,Byzantine architecture
byzantská filozofie,Byzantine philosophy
byzantská hudba,Byzantine music
byzantská kultura,Byzantine culture
byzantská literatura,Byzantine literature
byzantská mytologie,Byzantine mythology
byzantská poezie,Byzantine poetry
byzantské malířství,Byzantine painting
byzantské právo,Byzantine law
byzantské umění,Byzantine art
byzantský epos,Byzantine epos
byzantský hymnus,Byzantine hymns
byzantský ritus,Byzantine rite
bíthýnie,Bithynia
bójové,Boii
búleutérion,bouleuterion
bělorusko,Belarus
běžný nález,common find
břitva,razor
bůh,God
bůh (křesťanství),God (Christianity)
bůh (teologie),God (theology)
bůh otec,God the Father
bůh syn,God the Son
cadus (nádoba),kados (vessel)
calceus,calceus
caliga,caliga
carcer,carcer
castellum,castellum
casus belli,casus belli
cech,guild
cechovní znak,guild coats of arms
cedník,colander
celek akce,fieldwork extent
cella,cella
cena za vítězství,áthlon
cesta,roads
cestopis,travelogue
cestovní deník,Travel Journal
chalcedon,chalcedony
chaldejci,Chaldea
chalkidiki (řecko),Chalkidiki
chalybové,Chalybes
champagne,Champagne
chamská kultura,Cham Culture
chantové,Khanty people
chantyjština,Khanty
charizma,charisma
chata,hut
chattové,Chatti
chazarská říše,Khazaria
chazaři,Khazars
chebská kultura,Cheb Culture
chemická analýza,chemical analysis
chemie,chemistry
cherub,cherub
cheruskové,Cherusci
chetité,Hittites
chile,Chile
chitón,chiton
chladná zbraň,cold weapon
chlaina,chlaina
chlamys,chlamys
chlystové (sekta),Khlysty
chléb,bread
chlév,animal shed
choceň,Choceň
chodba,corridor
chomutov,Chomutov
chomutov-pesvice,Chomutov-Pesvice
chorvatsko,Croatia
chov domácích zvířat,animal husbandry
chov hospodářských zvířat,livestock keeping
christianizace,Christianization
christogram,Christogram
chrlič,gargoyle
chromatografická analýza,chromatographic analysis
chromatografie,chromatography
chronogram,chronogram
chronologické členění (keramika),chronological classification (ceramics)
chronologie,chronology
chronologie (města),chronology (cities)
chronostratigrafie,chronostratigraphy
chrám,temple
chrámová podezdívka,krepis
chrámové dveře,temple door
chrámové okno,temple window
chtonické božstvo,earth deity
chytra,khytra
cihelné zdivo,brick masonry
cihla,brick
cihlář,brickmaker
cihlářská hlína,brick clay
cihlářská pec,brick kiln
cihlářství,brickmaking
cippus (mezník),cippus (boundary stone)
cippus (náhrobek),cippus (gravestone)
cirkevní archeologie,Christian archaeology
cirkus,circus
cista,cista
cisterciačky,Cistercian nuns
cisterciáci,Cistercians
cisterciácká spiritualita,Cistercian spirituality
cisterciácký klášter,Cistercian monastery
cisterna,cistern
cizelérství,chasing (metalworking)
colonia,colonia
commentarius,commentarii
cookovy ostrovy,Cook Islands (the)
cornu,cornu
corona,corona
corpus,text corpus
creative commons uveďte původ 4.0 mezinárodní,Creative Commons Attribution 4.0 International
creative commons uveďte původ-neužívejte komerčně 4.0 mezinárodní,Creative Commons Attribution-NonCommercial 4.0 International
creative commons uveďte původ-neužívejte komerčně-nezpracovávejte 4.0 mezinárodní,Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International
creative commons uveďte původ-neužívejte komerčně-zachovejte licenci 4.0 mezinárodní,Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International
creative commons uveďte původ-nezpracovávejte 4.0 mezinárodní,Creative Commons Attribution-NoDerivatives 4.0 International
creative commons uveďte původ-zachovejte licenci 4.0 mezinárodní,Creative Commons Attribution-ShareAlike 4.0 International
cukr,sugar
curaçao,Curaçao
curia (radnice),curia
cymbál,cymbal
cypřiš,Cupressus
cyrilice,Cyrillic
cyrilometodějská mise,Cyril and Methodius mission
cyrilometodějská tradice,Cyril and Methodius tradition
cyrilské nápisy,Cyrillic inscriptions
cytogenetika,cytogenetics
czestochowa,Czestochowa
czestochowa-rudniky,Czestochowa-Rudniky
cín,tin
cínař,tinsmith
cínařství,tinsmithing
církev,church congregation
církevní architektura,church architecture
církevní dějiny,church history
církevní latina,liturgical Latin
církevní poplatky,church fee
církevní právo,canon law
církevní slovanština,Church Slavonic
církevní správa,church administration
církevní řád,religious order
císařský palác,imperial palace
císařství,empire
cízelér,chaser
d. halštatská - laténska nesp.,Hallstatt-La Tène period
dadaismus (umění),dadaism (art)
dagerotypie,daguerreotype
dalmácie,Dalmatia
danaové,Denyen
daně,taxes
dar,gift
dardanely (turecko : průliv),Dardanelles
data,data
data 3d,data 3D
data analýzy ekofaktů,ecofact analysis data
data geodetická,geodetic data
data geofyzikální,geophysical data
data gnss,GNSS data
data terénního výzkumu,fieldwork data
data vektorového plánu,vector plan data
databáze,database
datace neurčena,unspecified dating
datování uměleckého díla,dating of art works
dauphiné,Dauphiné
dehet,tar
dehtárna,tar kiln
dehtářská pec,tar kiln (objekt)
dekret,decree
demografické chování,demographic behavior
demografický vývoj,demographic transition
demografický výzkum,population research
demografie,demography
demokracie,democracy
den v týdnu,day of the week
dendrochronologická analýza,tree-ring analysis
dendrochronologie,dendrochronology
dentální antropologie,dental anthropology
denár,denarius
deník,Diary
deponování,deposition activity
depot,hoard
deska,board
desková malba,panel painting
desková tektonika,plate tectonics
despotismus,despotism
destruktivní metoda výzkumu,destructive method
destrukční horizont,destruction horizon
destrukční vrstva/souvrství,destruction layer/sequence
desátek,tithe
detekce kovů,metal detection
devocionálie,devotional object
devoční obraz,devotional image
devoční socha,devotional statue
deštivo,rainy
diamant,diamond
diapozitiv barevný,colour photoslide
diapozitiv černobílý (film),black-and-white photoslide (film)
diapozitiv černobílý (sklo),black-and-white photoslide (glass)
diaspora,diaspora
diatessaron,diatessaron
diatomární analýza,diatomic analysis
diazóma,diazoma
didaché,didache
diecéze,diocese
difuzionistická antropologie,diffusionism
digitální model terénu,digital elevation model
digitální soubor,digital file
diktatura,dictatorship
diktatura proletariátu,dictatorship of the proletariat
diplomatika,diplomacy
dipteros,dipteros
diptychon,diptych
dipylská váza,dipylon jar
disk (sportovní nářadí),disk
diskriminace,discrimination
diskriminační analýza,discriminant analysis
diskurzivní analýza,discourse analysis
distribuční mapa,distribution map
divadlo,theatre
dlažba,pavement
dlaždice,floor tile
dlaždič,tile maker
dlaždičské práce,pavements
dlouhý dům,longhouse
dláto,chisel
dláždění,pavement
dno sondy,trench bottom
doba bronzová,Bronze Age
doba bronzová - halštatská,bronze age-hallstatt
doba bronzová–halštatská,Bronze Age–Hallstatt Period
doba halštatská,Hallstatt Period
doba halštatská–laténská,Hallstatt–La Tène Period
doba hradištní,hillfort period
doba kamenná,stone age
doba laténska,La Tène period
doba laténska - římska,La Tène - Roman period
doba laténská,La Tène Period
doba laténská–římská,La Tène–Roman Period
doba ledová,glacial epoch
doba meziledová,interglacial period
doba měděná,Chalcolithic
doba stěhování národů,Migration Period
doba římská,Roman Period
doba římská - stěhování národů,roman - migration period
doba římská–stěhování národů,Roman–Migration Period
doba železná,Iron age
dobrodzieńská skupina,Dobrodzień Group
dogma,dogma
dogmatismus,Dogmatism
doklad umění/kultu,artistic/ritual object
doklady umění,evidence of art
dokumentace,documentation
dokumentační výzkum,documentary research
dolmen,dolmen
dolní lotrinsko,Lower Lotharingia
dolní rakousko,Lower Austria
dolní slezsko,Lower Silesia
dolopové,Dolopes
domestifikace živočichů,animal domestication
dominika,Dominica
dominikáni,Dominicans
dominikánky,Dominican nuns
dominikánská republika,Dominican Republic (the)
dominikánská spiritualita,Dominican spirituality
dominikánský klášter,Dominican monastery
domnělé (5–50 %),alleged (5–50%)
domovní kanalizace,house drains
domácí zvíře,domestic animal
dona militaria,dona militaria
donatismus,Donatism
donátor,donor
donátorka,donor (female)
dopis,letter
doplňování muzejních sbírek,museum collections acquisition
doprava,transportation
dotazník (etnologie),questionnaire (ethnology)
dotazník (geografie),questionnaire (geography)
dožínky,Dozhinki
drachma,drachma
drahý kámen,precious stone
drasadlo,side scraper
draslář,Ash burner
draslářství,potash production
dromos (hrobka),dromos (tomb)
dromos (ulice),dromos (street)
drožďařství,yeast industry
drtidlo,grindstone
drtidlo/zrnotěrka,handstone/saddle quern
druhohory,mesozoic
druhy muzeí,types of museums
druhá makedonská válka (200-197 př. kr.),Second Macedonian War
druid,druid
druidismus,druidism
družicová geodezie,satellite geodesy
drát,wire
drátenictví,tinkers trade
dráteník,tinker
drátník,wire drawer
drůbež,poultry
dualismus,dualism
duch,ghost
duch svatý,Holy Spirit
duchovenstvo,clergy
duchovní život,spiritual life
dukát,ducat
duplicita,duplicate
durynkové,Thuringii
durynsko,Thuringia
duše,soul
dvojitý klášter,double monastery
dvorec,manorial farm
dvorec/dvůr,curia/manorial farm
dvorská společnost,courtly society
dvorské desky,tabulae curiae
dvůr,court
dynamismus,dynamism
dyzna,nozzle
dácie,Dacia (Dacian kingdom)
dákové,Dacians
dálkový obchod,long-distance trade
dálkový průzkum země,remote sensing
dánsko,Denmark
dáreikos,dareikos
délos (řecko : ostrov),Delos
démon,demon
démonismus,demonism
démonolatrie,demonolatry
démos (sídliště),Demos (settlement)
dílna,workshop
dóm,duomo
dórové,Dorians
dórský stavební řád,doric order
dýka,dagger
dýmačka,fuming blast-furnace
dýmka,pipe
dějepisná mapa,history map
dějiny,history
dějiny archeologie,history of archaeology
dějiny architektury,architectural history
dějiny archivnictví,history of keeping archives
dějiny bible,History Bible
dějiny byzantské literatury,history of Byzantine literature
dějiny dějepisectví,History of Historiography
dějiny fotografie,history of photography
dějiny genderu,Gender History
dějiny hornictví,history of mining
dějiny idejí,Intellectual History
dějiny každodennosti,People´s History
dějiny malířství,history of painting
dějiny mentalit,History of Mentalities
dějiny metalurgie,history of metallurgy
dějiny myslivosti,history of game management
dějiny obchodu,history of comerce
dějiny peněz,history of money
dějiny sochařství,history of sculpture
dějiny spirituality,history of spirituality
dějiny správy,Administrative History
dějiny tiskařství,history of printing
dějiny umění,art history
dějiny zemědělství,history of agriculture
dějiny řecké antické literatury,history of Greek ancient literature
dějiny řemesel,history of handicrafts
dělba práce,division of labor
dělnictvo,working class
dělostřelectvo,artillery
dětská úmrtnost,children mortality
dřevo,wood
dřevohlinitá hradba,wood earth rampart
dřevorubec,logger
dřevořezba,woodcarving
dřevěná hať,timber trackway
dřevěná kaple,wooden chapel
dřevěná konstrukce,wooden structure
dřevěné uhlí,charcoal
dřevěné výrobky,wood products
dřevěný kostel,wooden church
důl,mine
dům,house
džbán,jug
džibutsko,Djibouti
eburonové,Eburones
echínos,echinus
efémeris,ephemeris
egejská kultura,Aegean culture
egejské moře (oblast),Aegean Sea
egypt,Egypt
ekklésiastérion,Ekklesiasterion
ekkykléma,ekkyklema
eklekticismus (umění),eclecticism
ekofakt,ecofact
ekologická krize,ecological crisis
ekologie folkloru,folklore ecology
ekonomická antropologie,economic anthropology
ekonomická elita,economic elite
ekonomická geografie,economic geography
ekonomická statistika,economic statistics
ekumenická liturgie,ecumenical liturgy
ekumenický koncil,ecumenical council
ekumenismus,ecumenism
ekvádor,Ecuador
elba (itálie : ostrov),Elba
elektron,electrum
elektronová mikroskopie,electron microscopy
elita,elite
elogium,elogium
email,enamel
emblematika,emblematics
emblém,emblem
emická deskripce kultury,emic description of culture
empora,matroneum
eneolit,Eneolithic
enkaustika,encaustic painting
enkláva,enclave
enkolpión,engolpion
enkulturace,enculturation
entasis,entasis
enviromentální geografie,environmental geography
environmentální archeologie,environmental archaeology
environmentální geologie,environmental geology
environmentální skenovací elektronová mikroskopie,environmental scanning electron microscopy
environmentální vzorek,environmental sampling
epanagoge,epanagoge
epiatlantik (paleoklimatologie),Epi-atlantic (paleoclimatology)
epigrafika,epigraphy
epigravettien,Epigravettian
epimagdalenien,epimagdalenian
epimagdalénien,Epimagdalenian
epirus,Epirus
epitaf,epitaph
epištola,carta
erbovní listina,heraldic document
ergastulum,ergastulum
ergastérion,ergasterion
eritrea,Eritrea
eroze (geologie),erosion
erozní rýha,gully/ravine
eschatologie,eschatology
esoterismus,esotericism
essedum,essedum
estonci,Estonians
estonsko,Estonia
estonština,Estonian
etická deskripce kultury,ethical description of culture
etický rámec etnografického výzkumu,ethical framework of ethnographic research
etiopie,Ethiopia
etnicita,ethnicity
etnická hranice,ethnic border
etnická hudba,world music
etnická minorita,ethnic minority
etnická skupina,ethnic group
etnické společenství,ethnic community
etnické umění,ethnic art
etnické vědomí,ethnic consciousness
etnický konflikt,ethnic conflict
etnický proces,ethnic processes
etnický stereotyp,ethnic stereotype
etnika,ethnic groups
etnikum,ethnic group
etnoarcheologie,ethnoarchaeology
etnocentrismus,ethnocentrism
etnochoreologie,ethnochoreology
etnodemografie,ethnodemography
etnogeneze,ethnogenesis
etnografická sbírka,ethnological collection
etnografická skupina,ethnographic group
etnografické muzeum,ethnological museum
etnografický experiment,ethnographic experiment
etnografický terén,ethnographic terrain
etnografický výzkum,ethnographic research
etnografie,ethnography
etnografie dělnictva,ethnography of labour
etnografie města,urban anthropology
etnografie socialistické vesnice,ethnography of a socialist village
etnografie současnosti,Ethnography of present
etnokartografie,Ethnocartography
etnologické subdisciplíny,ethnological subdisciplines
etnologie,ethnology
etnomuzikologie,ethnomusicology
etnonacionalismus,ethnonationalism
etnonymum,ethnonym
etnoorganologie,ethnoorganology
etnos,ethnos
etnověda,Ethnoscience
etrurie,Etruria
etruskové,Etruscans
etruská mytologie,Etruscan mythology
etruské malířství,etruscan painting
etruské náboženství,Etruscan religion
etruské nápisy,Etruscan inscriptions
etruské památky,Etruscan monuments
etruské sochařství,etruscan sculpture
etruské umění,Etruscan art
etruština,Etruscan
etymologie,etymology
euboia (řecko : ostrov),Euboea
evangelický duchovní,Evangelical minister
evangelický kostel,Evangelical temple
evangelium,gospel
evangelizace,evangelization
evangeliář,evangeliary
