file,page_num,line_num,text_auto,text_en
MTX201501307,1,1,Záchranný archeologický výzkum,Rescue Archaeological Research
MTX201501307,1,2,"Zubří, ČOV a kanalizace","Teeth, WOC and Sewerage"
MTX201501307,1,3,"parc. č. 41/1, 41/5, 41/11, 42,137/1","No 41/1, 41/5, 41/11, 42,137/1"
MTX201501307,1,4,Nálezová zpráva,Finding report
MTX201501307,1,5,"Pueblo - archeologická společnost, o. p. s.","Pueblo - archaeological society, o. p. s."
MTX201501307,1,6,Ondřej Baier,Andrew Baier
MTX201501307,1,7,2014,2014
MTX201501307,2,1,2,2
MTX201501307,2,2,Objednatel:,Orderer:
MTX201501307,2,3,Obec Zubří,Municipality of Zubří
MTX201501307,2,4,Zubří 37,Teeth 37
MTX201501307,2,5,592 31 Zubří,592 31 Zubre
MTX201501307,2,6,Oprávněná organizace:,Authorised organisation:
MTX201501307,2,7,"Pueblo - archeologická společnost, o. p. s.","Pueblo - archaeological society, o. p. s."
MTX201501307,2,8,Podjavorinské 1601/8,Podjavorinsky 1601/8
MTX201501307,2,9,149 00 Praha 11 - Chodov,149 00 Praha 11 - Chodov
MTX201501307,2,10,Vedoucí archeologického výzkumu:,Head of Archaeological Research:
MTX201501307,2,11,Mgr. Ladislav Kaiser,Mgr. Ladislav Kaiser
MTX201501307,2,12,Odborná a technická spolupráce:,Technical and technical cooperation:
MTX201501307,2,13,"Mgr. Jan Bařinka, vedoucí technik","Mgr. Jan Bařinka, chief technician"
MTX201501307,2,14,"Mgr. Ondřej Baier, technická spolupráce","Mgr. Ondřej Baier, Technical Cooperation"
MTX201501307,2,15,"Bc. Hynek Švácha, technická spolupráce","Bc. Hynek Švácha, Technical Cooperation"
MTX201501307,2,16,"Hana Hrušková, laboratorní práce","Hana Hrušková, laboratory work"
MTX201501307,2,17,"Mgr. Přibyslava Hoffmannová, kresebná a fotografická dokumentace artefaktů","Mgr. Přibyslava Hoffmann, drawing and photographic documentation of artefacts"
MTX201501307,2,18,"Aleš Kossl, geodet","Aleš Kossl, geodet"
MTX201501307,2,19,Upozornění,Warning
MTX201501307,2,20,Předložená práce vznikla tvůrčím zpracováním výsledků archeologického výzkumu a je tedy chráněna autorským právem,The submitted work was created by the creative processing of the results of archaeological research and is therefore protected by copyright
MTX201501307,2,21,podle platných právních předpisů České republiky ve smyslu zákona 121/2000 Sb. Na základě tohoto zákona jsou chráněny,according to the applicable legislation of the Czech Republic within the meaning of Act 121/2000 Coll. They are protected under this law
MTX201501307,2,22,"i její jednotlivé části, tj. např. text, databáze, kresebná, měřičská a fotografická dokumentace (viz § 2 citovaného zákona).","i.e. text, database, drawing, measurement and photographic documentation (see Section 2 of the Act)."
MTX201501307,2,23,"Tuto práci lze tedy, stejně jako její části, dále využít, popřípadě uveřejnit, jen se svolením autora (viz § 12 citovaného","This work, like parts of it, can therefore be further exploited or published only with the author's permission (see Paragraph 12 of the quoted"
MTX201501307,2,24,zákona).,Law).
